title,type,genres,releaseyear,averagerating,votes
Yukon Men,tv,"{Action, Adventure, Animation}",2009,7.9,29265
Burning Bush,tv,"{Comedy, Reality-TV}",2011,6.1,1687
Watchmen,tv,"{Action, Adventure, Biography}",2010,8.5,261571
Impractical Jokers,tv,"{Crime, Drama, Mystery}",2013,7.4,38279
Who the (Bleep)...?,tv,"{Crime, Drama, Mystery}",2014,8.9,676057
Extreme Cheapskates,tv,"{Comedy, Drama}",2013,8.7,2361
Dragon Ball Z Kai,tv,{Documentary},2013,8.1,1079
Starstruck,tv,"{Adventure, Comedy, Reality-TV}",2012,7.4,2907
The Men Who Sold the World Cup,tv,"{Drama, Fantasy, Horror}",2013,8.3,151581
Roller Jam,tv,"{Action, Adventure, Animation}",2012,6.4,8222
Coming from America,tv,"{Animation, Comedy, Family}",2010,4.5,7578
We Bare Bears,tv,"{Adventure, Animation, Comedy}",2011,7.1,3802
The Golden Boy,tv,"{Comedy, Fantasy, Horror}",2013,7.8,3177
Six Schizophrenic Brothers,tv,"{Comedy, Drama, Romance}",2013,7.5,14292
Superman & Lois,tv,{Reality-TV},2011,5.1,193
Bering Sea Gold: Under the Ice,tv,"{Crime, Documentary}",2012,7.1,363
My Cat from Hell,tv,"{Crime, Drama, Thriller}",2013,8.1,123046
Twisted Metal,tv,"{Comedy, Drama, Romance}",2013,7.4,40486
Riverdale,tv,{Documentary},2013,7,180
Wisting,tv,{Talk-Show},2013,6.3,44
Chapelwaite,tv,"{Crime, Documentary}",2020,7.2,6862
Fallen Idols: Nick and Aaron Carter,tv,"{Adventure, Animation, Comedy}",2013,6.8,12224
Looney Tunes Cartoons,tv,"{Drama, History}",2022,7.3,41
Flea Market Flip,tv,"{Crime, Documentary}",2013,6.9,314
My Big Fat American Gypsy Wedding,tv,{Comedy},2013,7.4,13766
Silicon Valley,tv,{Game-Show},1995,6.1,55
Rick and Morty,tv,"{Drama, Fantasy, Mystery}",2014,8.3,116841
Gotham,tv,"{Drama, Romance, Thriller}",2013,7.6,4368
Fixer Upper,tv,"{Family, Game-Show, Reality-TV}",2011,7.6,746
The Carbonaro Effect,tv,"{Animation, Family}",2011,6.2,112
My Love from Another Star,tv,"{Adventure, Drama, Fantasy}",2014,8.4,183779
The Knick,tv,"{Comedy, Talk-Show}",2012,8.6,22366
Gomorrah,tv,"{Action, Crime, Drama}",2011,7.9,1298
The Honorable Woman,tv,"{Drama, History, Romance}",2013,7.7,32196
Black Jesus,tv,{Sport},2013,,
Steven Universe,tv,"{Crime, Documentary}",2012,7.7,286
Tanked,tv,{Documentary},2012,6.5,624
Seinto Seiya: The Lost Canvas - Meio Shinwa,tv,"{Documentary, History, War}",2011,6.9,21
90 Day Fiancé,tv,{Comedy},2013,7.8,4071
Olive Kitteridge,tv,{Reality-TV},2013,6.4,455
Mr. Pickles,tv,"{Comedy, Drama, Romance}",2014,8.2,22086
Wataha,tv,"{Crime, Documentary}",2024,6.8,448
Somebodys Gotta Do It,tv,"{Animation, Horror}",2024,6.7,4992
"Dude, Youre Screwed",tv,"{Crime, Drama}",2024,8.8,74691
Over the Garden Wall,tv,"{Adventure, Drama, Mystery}",2021,5.7,706
World Trigger,tv,"{Adventure, Game-Show, Horror}",2013,6.6,5174
Togetherness,tv,"{Adventure, Animation, Comedy}",2017,7.5,3631
Schitts Creek,tv,"{Adventure, Animation, Comedy}",2024,2.9,2780
Alaskan Bush People,tv,"{Comedy, News, Talk-Show}",2014,8.8,97349
Expedition Unknown,tv,"{Action, Adventure, Animation}",2020,7.3,1180
The Jinx: The Life and Deaths of Robert Durst,tv,"{Crime, Drama}",2023,7,5472
Mike Tyson Mysteries,tv,"{Drama, Horror, Mystery}",2022,7.8,104350
Booze Traveler,tv,{Reality-TV},2016,7.1,1489
Umbre,tv,"{Crime, Drama, Mystery}",2023,6.8,5752
Vixen,tv,"{Biography, Crime, Documentary}",2016,8,2070
Beat Bobby Flay,tv,{Drama},2023,6.2,211
O Negócio,tv,{Documentary},2023,7.3,69
7 Little Johnstons,tv,"{Animation, Comedy, Short}",2020,7.3,85
Junkyard Empire,tv,"{Adventure, Animation, Comedy}",2015,5.8,1273
Flip or Flop,tv,{Reality-TV},2012,6.7,1823
Peg+Cat,tv,"{Game-Show, Reality-TV}",2013,6.7,1898
Ballers,tv,{Comedy},2017,7.7,121597
Blindspot,tv,{Drama},2024,6.8,116
Billions,tv,"{Adventure, History, Horror}",2019,7.1,1913
Magnífica 70,tv,"{Adventure, Comedy, Fantasy}",2015,8.2,5704
Bizarre Foods: Delicious Destinations,tv,{Thriller},2024,6.5,231
Dr. Jeff: Rocky Mountain Vet,tv,"{Action, Crime, Drama}",2021,8.2,6182
Fast N Loud: Demolition Theater,tv,{Reality-TV},2012,5.9,116
Show Me a Hero,tv,"{Crime, Documentary}",2024,7.3,2195
The Perfect Murder,tv,{Drama},2019,8.3,258198
Naked and Afraid XL,tv,"{Documentary, Reality-TV}",2019,6.7,1106
Edge of Alaska,tv,"{Documentary, Reality-TV}",2017,6.8,1490
The Time in Between,tv,{Reality-TV},2019,6.1,423
Treasure Quest: Snake Island,tv,"{Adventure, Drama, Fantasy}",2019,7.8,87823
"Burgers, Brew and Que",tv,"{Animation, Comedy, Family}",2014,9,1443
El Hipnotizador,tv,"{Action, Adventure, Animation}",2023,7.7,7495
She Was Pretty,tv,"{Crime, Drama, Thriller}",2014,8.9,432504
Long Live the Royals,tv,"{Adventure, Reality-TV}",2012,7.2,918
MasterChef Brazil,tv,"{Biography, Drama, History}",2013,7.8,1776
"Be Cool, Scooby-Doo!",tv,"{Crime, Drama, Mystery}",2019,8.2,137881
Bake Off Brasil: Mão na Massa,tv,"{Comedy, Reality-TV}",2011,8.6,47230
Servant of the People,tv,"{Biography, Documentary}",2013,7.1,75
Witches Girl,tv,{Reality-TV},2011,5.7,785
The Divorce,tv,"{Action, Adventure, Animation}",2009,8.3,25503
Signos,tv,"{Comedy, Romance}",2021,7.5,8872
Mountain Monsters,tv,{Documentary},2021,7.1,258
Garage Squad,tv,"{Game-Show, Reality-TV, Sport}",2024,7.7,67
Misfit Garage,tv,{Reality-TV},2024,7,92
Gold Rush: The Dirt,tv,"{Adventure, Animation, Comedy}",2014,7.9,19904
Bitchin Rides,tv,"{Biography, Documentary, Sport}",2023,7.3,802
Sr. Ávila,tv,{Documentary},2024,7.1,1372
Return to Amish,tv,"{Action, Adventure, Drama}",2021,7.7,41943
The Last Alaskans,tv,"{Adventure, Documentary, Reality-TV}",2012,6.6,684
UFOs Declassified,tv,{Reality-TV},2011,7.7,1656
Barbapapa,tv,"{Action, Adventure, Comedy}",2023,7.3,29087
Vice Principals,tv,"{Crime, Drama, Mystery}",2017,6.5,158008
Shark,tv,"{Crime, Drama}",2019,7.3,8730
I Am Jazz,tv,"{Drama, Horror, Mystery}",2021,7.2,12681
Animals.,tv,{Documentary},2024,6.1,718
Doomed,tv,"{Adventure, Animation, Comedy}",2019,8,2056
Endless Love,tv,{Reality-TV},2012,7,502
Bunnicula,tv,{Reality-TV},2012,4.1,435
Diesel Brothers,tv,{Comedy},2014,8.5,169992
Doraemon,tv,"{Adventure, Animation, Comedy}",2013,9.1,625804
The Deuce,tv,"{Action, Crime, Drama}",2014,7.8,244114
Deadliest Job Interview,tv,"{Action, Adventure, Drama}",2014,7.5,372440
Rehab Addict,tv,{Reality-TV},2013,8.1,3531
Web of Lies,tv,{Comedy},2014,7.5,2541
My 600-lb Life,tv,"{Comedy, Drama, Fantasy}",2013,8.2,17080
Dios Inc.,tv,"{Drama, History}",2014,8.5,53434
The Durrells,tv,"{Crime, Drama, Thriller}",2014,8.6,45677
Soy Luna,tv,"{Drama, Thriller}",2014,7.9,11708
Lost & Found Music Studios,tv,{Comedy},2014,7,3885
The Night Of,tv,"{Action, Adventure, Animation}",2013,8.2,41406
Big Little Lies,tv,{Reality-TV},2011,6.5,2019
W,tv,"{Action, Adventure, Animation}",2009,8.1,2340
OutDaughtered,tv,"{Reality-TV, Romance}",2014,6.4,2763
Insane Pools Off the Deep End,tv,{Drama},2014,8.3,26918
The Vet Life,tv,"{Animation, Comedy, Horror}",2013,7.3,10357
(fdp),tv,"{Action, Crime, Drama}",2014,7.6,3250
Better Things,tv,{Documentary},2014,8,189
Quarry,tv,{Reality-TV},2013,7.6,656
Babylon Berlin,tv,"{Adventure, Animation, Comedy}",2014,8.8,75681
Lone Star Law,tv,"{Action, Animation, Sci-Fi}",2014,7.4,1217
High Maintenance,tv,"{Comedy, Drama, Romance}",2015,7.5,9524
Shopping King Louie,tv,{Comedy},2015,8.5,152545
Divorce,tv,{Reality-TV},2014,6,2758
Naked Attraction,tv,"{Adventure, Mystery, Reality-TV}",2015,8.2,4004
Property Brothers - Buying + Selling,tv,"{Biography, Crime, Documentary}",2015,8.6,54466
Monica and Friends,tv,"{Adventure, Animation, Comedy}",2014,8.2,5774
Deadliest Catch: Dungeon Cove,tv,{Reality-TV},2014,8.3,405
Better Late Than Never,tv,"{Crime, Drama, Thriller}",2014,8.7,11694
Search Party,tv,"{Action, Adventure, Animation}",2015,6.9,3863
90 Day Fiancé: Happily Ever After?,tv,"{Family, Reality-TV}",2014,6.2,568
Motherland,tv,{Game-Show},2013,6.4,1652
Mundo Bita,tv,"{Comedy, Drama}",2013,8,1854
Insecure,tv,{Reality-TV},2013,6.8,498
Stay with Me,tv,{Reality-TV},2015,5.8,127
Hawaii Life,tv,{Reality-TV},2013,6.2,2155
Mi-mi-mishki,tv,"{Animation, Family}",2013,7.8,449
Weightlifting Fairy Kim Bok-Joo,tv,"{Comedy, Drama, Sport}",2015,7.8,77419
Dr. Romantic,tv,"{Action, Crime, Drama}",2015,7.3,80265
Iron Resurrection,tv,{Drama},2016,8.3,111868
A Crime to Remember,tv,{Drama},2015,7.6,467
Als de dijken breken,tv,{Reality-TV},2015,7.1,507
Holiday Baking Championship,tv,{Reality-TV},2015,8.9,699
MasterChef Profissionais,tv,{Reality-TV},2014,5.3,12
Justice League Action,tv,"{Drama, History}",2015,7.9,12198
Lastman,tv,"{Crime, Documentary, Drama}",2014,6.6,413
Crashing,tv,"{Adventure, Game-Show, Reality-TV}",2015,7.3,1986
Behind Bars: The Worlds Toughest Prisons,tv,{Adventure},2014,6.9,480
Homestead Rescue,tv,"{Adventure, Drama, History}",2013,8.3,4782
The 1980s: The Deadliest Decade,tv,{Adventure},2015,6.5,438
The Good Fight,tv,{Reality-TV},2015,6.4,123
The Oddbods Show,tv,"{Drama, Fantasy}",2015,6.7,223
Feud,tv,"{Comedy, Romance}",2015,7.6,6710
My Big Fat Fabulous Life,tv,"{Animation, Comedy, Family}",2014,6.8,214
Caribbean Life,tv,"{Game-Show, Reality-TV}",2014,7.8,322
The White Princess,tv,"{Adventure, Animation, Comedy}",2015,6.7,3016
Héroïnes,tv,{Reality-TV},2015,6.6,25
The Zoo,tv,{Comedy},2015,7.3,4511
Sharp Objects,tv,"{Action, Adventure, Family}",2013,4.9,406
Britannia,tv,"{Comedy, Musical}",2015,6.1,37
Riviera,tv,"{Crime, Drama, Thriller}",2015,6.4,142
Chopped Junior,tv,{Reality-TV},2013,5.3,1910
Skin Tight,tv,{Reality-TV},2014,7,297
Uri and Ella,tv,{Reality-TV},2014,5.8,690
Clique,tv,{Talk-Show},2012,4.7,143
Ghost Brothers,tv,{Reality-TV},2014,7.7,487
Spring Baking Championship,tv,"{Action, Crime, Drama}",2013,8.2,1089
Dave Chappelle,tv,{Reality-TV},2014,5.9,376
Nate & Jeremiah by Design,tv,{Reality-TV},2015,8.5,1110
Super Wings,tv,"{Documentary, History}",2015,6.6,217
Castle Rock,tv,"{Adventure, Animation, Comedy}",1973,7,1312
Claws,tv,{Comedy},2016,8,32828
Unprotected,tv,{Documentary},2015,8.3,322
Gidseltagningen,tv,{Reality-TV},2015,4.3,1143
Krypton,tv,"{Animation, Comedy}",2016,7.3,4381
My Sassy Girl,tv,"{Drama, Romance}",2014,7.9,283
Home Town,tv,{Drama},2012,8.7,2334
Reasonable Doubt,tv,"{Drama, Romance}",2015,7.4,10840
Greg News com Gregório Duvivier,tv,"{Adventure, Animation, Comedy}",2016,7.2,725
4 Blocks,tv,{Reality-TV},2016,6.6,621
Snowfall,tv,"{Animation, Comedy, Drama}",2005,8.4,4321
The Bronze Garden,tv,"{Crime, Drama, Mystery}",2017,8.1,32755
Good Bones,tv,{Reality-TV},2016,6.6,17
The Chi,tv,{Reality-TV},2010,7.9,835
Room 104,tv,"{Crime, Documentary}",2014,7.8,994
The Fragility of Bodies,tv,{Reality-TV},2012,6.7,2215
The Detail,tv,{Thriller},2016,6.5,87
C.B. Strike,tv,"{Biography, Comedy, Drama}",2016,8.2,15040
Hard Sun,tv,"{Action, Animation, Comedy}",2016,3.6,5563
The Nineties,tv,"{Comedy, Family, Music}",2016,6.7,1942
I Was Prey,tv,"{Family, Music}",2015,6.5,708
Barry,tv,"{Crime, Drama, Mystery}",2016,8.4,177501
Flip or Flop Atlanta,tv,"{Crime, Drama, Mystery}",2017,8.4,230995
American Monster,tv,"{Action, Comedy, Drama}",2016,8,15008
Wild Hawaii,tv,{Reality-TV},2016,6.9,623
Odd Squad,tv,"{Documentary, Reality-TV}",2015,7.2,345
Liar,tv,{Reality-TV},2016,8,392
Un gallo para Esculapio,tv,"{Comedy, Drama, Sport}",2012,7.8,236
Mashkiny strashilki,tv,"{Comedy, Drama}",2016,7.9,18619
Hey Duggee,tv,"{Crime, Drama, Thriller}",2016,8,14632
Haunted Towns,tv,"{Crime, Drama, Thriller}",2017,8.4,30991
Island Life,tv,"{Documentary, Western}",2016,8,406
Grizzy and the Lemmings,tv,"{Comedy, Drama}",2016,8.1,10875
Rosario Tijeras,tv,"{Comedy, Romance}",2016,7.5,1749
Harley Quinn,tv,"{Comedy, Drama}",2016,6.8,8568
The Jellies!,tv,"{Game-Show, Reality-TV, Romance}",2016,5.4,2119
Deadline: Crime with Tamron Hall,tv,{Reality-TV},2012,7.1,916
Home Alone,tv,"{Adventure, Animation, Comedy}",1976,8.2,190
Halloween Baking Championship,tv,{Reality-TV},2016,6.2,111
Im Not a Robot,tv,"{Comedy, Documentary}",2016,8.5,2473
Unikitty!,tv,"{Comedy, Crime, Drama}",2016,7.6,14018
Finding Escobars Millions,tv,{Reality-TV},2016,6.4,1080
Building Alaska,tv,{Comedy},2016,8,8629
90 Day Fiancé: What Now?,tv,"{Animation, Family, Musical}",2013,8.6,36
Unexpected,tv,"{Comedy, Drama, Romance}",2016,8.1,23069
Who Killed Tupac?,tv,{Romance},2016,7.3,77
The Heroic Quest of the Valiant Prince Ivandoe,tv,{Reality-TV},2013,7.2,100
Christmas Cookie Challenge,tv,"{Adventure, Animation, Short}",2015,7.3,79
Property Brothers at Home,tv,"{Action, Adventure, Animation}",2016,2.8,6336
Mosaic,tv,"{Comedy, Romance}",2016,8.3,13978
Texas Metal,tv,"{Drama, Romance}",2016,8.4,4893
2 Dope Queens,tv,{Reality-TV},2016,7.8,451
Street Outlaws: Memphis,tv,"{Crime, Documentary}",2013,8.2,1448
Mayans M.C.,tv,{Drama},2016,6.6,1259
Family by the Ton,tv,"{Family, Game-Show, Reality-TV}",2014,7.6,493
Love After Lockup,tv,"{Game-Show, Reality-TV}",2016,8,126
Succession,tv,"{Action, Adventure, Animation}",2016,7.5,2612
Seeking Sister Wife,tv,"{Action, Adventure, Animation}",2016,8.4,1727
Earth to Luna!,tv,"{Comedy, Drama}",2017,7.6,8681
People Magazine Investigates,tv,{Documentary},2016,8.1,21
Gold Rush: White Water,tv,{Reality-TV},2016,7.9,893
Beachfront Bargain Hunt,tv,"{Crime, Documentary}",2016,7.7,250
Ed Stafford: Into the Unknown,tv,"{Crime, Drama}",2017,8.3,33404
The Little Drummer Girl,tv,"{Animation, Comedy, Family}",2016,6.2,379
Dorothy and the Wizard of Oz,tv,"{Drama, Sci-Fi, Thriller}",2017,8.4,264848
H2O: Mermaid Adventures,tv,"{Biography, Drama}",2017,8.3,27725
A Discovery of Witches,tv,{Reality-TV},2015,3.7,1199
The Zen Diaries of Garry Shandling,tv,{Reality-TV},2014,6.8,131
Woman,tv,"{Drama, History, Romance}",2017,7.5,16246
My Lottery Dream Home,tv,{Comedy},2017,6.5,25
Log Cabin Living,tv,{Reality-TV},2017,8.9,501
Mary & Mike,tv,"{Crime, Drama, Mystery}",2018,8,124629
Megalo Box,tv,"{Action, Drama, Fantasy}",2017,6.9,18264
Rua Augusta,tv,"{Drama, Thriller}",2017,6.7,9031
My Brilliant Friend,tv,"{Family, Game-Show}",2015,6.4,235
Terapie,tv,{Reality-TV},2016,6.8,89
You,tv,"{Comedy, Drama}",2016,7.6,69
Apple & Onion,tv,"{Drama, Thriller}",2017,6.8,3401
Pool Kings,tv,{Documentary},2016,6.4,713
El Maestro,tv,"{Family, Reality-TV}",2015,7.1,422
Ballmastrz 9009,tv,"{Comedy, Documentary}",2017,8.6,3148
Miracle Workers,tv,{Reality-TV},2017,7.5,269
Godfather of Harlem,tv,"{Adventure, Animation, Family}",2015,6,443
Being Serena,tv,"{Drama, Fantasy, Horror}",2018,7.5,52904
Swamp Thing,tv,"{Comedy, Crime, Drama}",2017,7.5,7219
Engineering Catastrophes,tv,"{Comedy, Reality-TV}",2017,6,19
A Very English Scandal,tv,"{Drama, Thriller}",2017,7.3,2390
Tuca & Bertie,tv,"{Action, Adventure, Drama}",2018,6.8,17954
The Killer Beside Me,tv,"{Comedy, Romance}",2017,6.9,924
Dead of Night,tv,{Reality-TV},2016,8.1,1571
Legacies,tv,"{Crime, Reality-TV}",2017,7.3,464
Doom Patrol,tv,"{Comedy, News}",2017,7.3,359
Pennyworth,tv,"{Crime, Drama}",2017,8.2,9871
Charmed,tv,"{Crime, Drama}",2017,8.4,35040
City on a Hill,tv,"{Crime, Drama, Horror}",2017,7.6,1750
Hunters,tv,{Reality-TV},2016,7.4,1150
Mexicanicos,tv,{Drama},2018,7.5,8507
Wild Frank: Discovery Max,tv,"{Comedy, Drama, Fantasy}",2017,6.1,6313
Ed Stafford: Left For Dead,tv,"{Drama, Mystery, Thriller}",2017,6.5,118
Pretty Little Liars: The Perfectionists,tv,"{Crime, Drama, Mystery}",2018,5.9,876
Joe Pera Talks with You,tv,"{Crime, Drama, Mystery}",2017,7.9,25823
Dead North,tv,"{Crime, Drama, Sci-Fi}",2018,6.6,5382
The Mind of a Murderer,tv,"{Documentary, History}",2017,8.1,1337
Extinct or Alive,tv,{Reality-TV},2017,7.2,140
Kindergarten,tv,"{Action, Comedy, Crime}",2018,8.3,127887
Wellington Paranormal,tv,{Reality-TV},2017,6.9,166
Girl Meets Farm,tv,"{Crime, Documentary, Drama}",2016,7.4,992
Stargirl,tv,{Documentary},2014,7,217
Dr. Pimple Popper,tv,"{Action, Crime, Drama}",2019,8.4,47611
The Shop,tv,"{Action, Adventure, Comedy}",2014,7.3,1508
Outback,tv,"{Crime, Drama, Thriller}",2017,7.1,11547
Talking Tom and Friends,tv,"{Crime, Drama, Mystery}",2017,8.2,854
Say Yes to the Dress UK,tv,"{Animation, Family}",2014,6.1,75
Summer Camp Island,tv,"{Animation, Comedy, Family}",2014,8.8,1502
The Gilded Age,tv,{Reality-TV},2017,5.3,253
Random Acts of Flyness,tv,{Reality-TV},2015,7.3,65
The Trap,tv,"{Adventure, Animation, Comedy}",2016,7.2,1031
Cleo & Cuquin,tv,"{Action, Crime, Drama}",2016,6.2,513
"Roswell, New Mexico",tv,"{Action, Adventure, Animation}",2019,8.4,39087
Autonomies,tv,"{Animation, Comedy}",2017,6.3,338
Find Me in Paris,tv,"{Crime, Documentary}",2013,7.4,261
Building Off the Grid,tv,{Crime},2017,6.8,108
Arthurs Gesetz,tv,"{Family, Reality-TV}",2015,7.6,501
Kizim,tv,"{Comedy, Romance, Sci-Fi}",2017,8,8011
All American,tv,"{Action, Animation, Comedy}",2017,5.5,1617
Saving My Tomorrow,tv,{Documentary},2017,3.9,391
Cutie Cubies,tv,{Documentary},2012,6,129
The Righteous Gemstones,tv,"{Animation, Family, Fantasy}",2017,5,258
The Bureau of Magical Things,tv,{Reality-TV},2017,5.5,221
Lovecraft Country,tv,{Reality-TV},2017,5,276
Folklore,tv,"{Biography, Crime, Documentary}",2017,5.7,236
Axios,tv,"{Action, Adventure, Animation}",2017,7.3,255
"Gordon, Gino & Freds Road Trip",tv,"{Game-Show, Reality-TV}",2017,6.9,168
Três Mulheres,tv,"{Documentary, Reality-TV}",2014,6.8,300
Bahamas Life,tv,"{Crime, Drama, Mystery}",2018,6.4,3840
Crikey! Its the Irwins,tv,{Reality-TV},2017,7.1,258
What We Do in the Shadows,tv,"{Comedy, Talk-Show}",2018,5.9,695
The Undoing,tv,{Reality-TV},2018,6.1,139
The Plot Against America,tv,"{Crime, Drama, Thriller}",2018,7.5,25404
Blood Runs Cold,tv,{Reality-TV},2018,6.6,114
Border Control: Spain,tv,"{Reality-TV, Romance}",2018,6.8,773
Justice League Unlimited,tv,"{Comedy, Drama}",2018,8.8,294480
Jett,tv,{Reality-TV},2018,4.1,293
Nicky Jam: El Ganador,tv,"{Animation, Family, Musical}",2014,7.7,150
The Outsider,tv,"{Crime, Documentary}",2016,7.6,1044
Mônica Toy,tv,{Reality-TV},2018,6.7,995
The Shivering Truth,tv,"{Documentary, Family}",2013,6.6,121
Gangs of London,tv,"{Adventure, Documentary}",2015,8,289
Murder in the Heartland,tv,"{Drama, Thriller}",2018,7.4,15712
The Disappearance,tv,"{Adventure, Animation, Family}",2017,5.8,154
American Nightmare,tv,"{Adventure, Animation, Comedy}",2015,5.3,287
The Night That Didnt End,tv,"{Drama, Fantasy, Romance}",2018,7.8,65752
Deadly Secrets,tv,{Documentary},2013,7,74
Killing Time,tv,"{Biography, Comedy, Documentary}",2018,8.4,2225
The Other Two,tv,{Drama},2017,6.7,1775
Pagan Peak,tv,{Reality-TV},2015,6.6,749
15: A Quinceañera Story,tv,{Reality-TV},2014,6.9,49
Héroes cotidianos,tv,"{Drama, Thriller}",2018,7.4,137
Single Long,tv,"{Action, Animation, Drama}",2018,7.8,4023
Perry Mason,tv,"{Action, Crime, Drama}",2018,6.9,220
Patria,tv,{Drama},2018,8.6,19256
Vote for Juan,tv,{Drama},2011,7.9,175
In Pursuit with John Walsh,tv,"{Crime, Drama, Romance}",2018,7.7,313100
Gentleman Jack,tv,"{Adventure, Animation, Comedy}",2016,6.3,2331
The Lake Erie Murders,tv,{Reality-TV},2016,7.3,91
Gen: Lock,tv,"{Drama, Music}",2017,8,80
The Red Line,tv,"{Action, Animation, Comedy}",2018,6.8,791
Windy City Rehab,tv,"{Comedy, Drama, Fantasy}",2019,7.1,19544
The Spanish Princess,tv,"{Crime, Drama}",2019,8.1,22249
Your Honor,tv,"{Documentary, Sport}",2018,6.3,442
Ed Stafford: First Man Out,tv,"{Horror, Sci-Fi}",2019,7.4,28249
Dead of Winter,tv,{Documentary},2018,6.9,168
Paranormal Caught on Camera,tv,"{Biography, Comedy, Crime}",2018,7.7,16890
Leo and Tig,tv,"{Animation, Comedy}",2019,7.4,8657
The North Water,tv,{Documentary},2018,7.2,214
Los Espookys,tv,{Crime},2018,7.8,109
Chernobyl,tv,"{Adventure, Drama, Fantasy}",2018,7.2,38634
Whats My Name: Muhammad Ali,tv,"{Action, Adventure, Comedy}",2019,7.7,60831
Bakugan: Battle Planet,tv,"{Action, Crime, Drama}",2019,7.8,18486
Ramy,tv,"{Drama, Fantasy, Mystery}",2018,4.8,18259
Why Women Kill,tv,"{Crime, Drama, Thriller}",2019,7.6,15853
Equador,tv,"{Crime, Drama, Mystery}",2020,7.2,53486
"I Love You, Now Die: The Commonwealth v. Michelle Carter",tv,{Reality-TV},2014,8.6,32
Darkness: Those Who Kill,tv,"{Adventure, Documentary}",2014,7.5,130
60 Days on the Streets,tv,{Reality-TV},2017,8.1,239
The Bay,tv,"{Crime, Drama, Mystery}",2019,6.8,6713
Buddy vs. Duff,tv,"{Comedy, Short}",2018,8.9,3746
State of the Union,tv,"{Crime, Documentary}",2018,7.4,312
Total DramaRama,tv,{Crime},2015,6.1,180
Intelligence,tv,"{Adventure, Documentary, Mystery}",2018,7.6,404
I Know This Much Is True,tv,{Reality-TV},2001,8.9,102
Gold Rush: Dave Turins Lost Mine,tv,"{Comedy, Crime, Fantasy}",2018,7.6,8281
Mediterranean Life,tv,{Documentary},2018,6.4,244
Scooby-Doo and Guess Who?,tv,"{Action, Adventure, Crime}",2020,7.2,21061
Murder Decoded,tv,{Reality-TV},2018,6.7,1321
GameFace,tv,{Talk-Show},2018,6.8,1141
We Are Who We Are,tv,{Documentary},2018,7,31
Mexico Life,tv,"{Adventure, Animation, Comedy}",2014,6,653
Angels Last Mission: Love,tv,{Reality-TV},2016,5.3,90
Polly Pocket,tv,"{Adventure, Animation, Comedy}",2018,7.7,2118
On Tour with Aspergers Are Us,tv,{Drama},2022,8,40135
Batwoman,tv,"{Comedy, Drama, Fantasy}",2018,6.8,825
44 Cats,tv,"{Crime, Drama}",2018,6.5,695
Duff Takes The Cake,tv,"{Animation, Family}",2018,7.1,126
Nancy Drew,tv,"{Drama, Romance, Sci-Fi}",2019,6.3,14515
Hierro,tv,{Drama},2018,6.9,133
The Aquarium,tv,"{Comedy, Drama, Family}",2018,6.9,1321
The L Word: Generation Q,tv,{Documentary},2014,7,199
Property Brothers: Forever Home,tv,{Comedy},2018,7.2,407
30 Coins,tv,"{Comedy, Drama, Romance}",2018,6.6,1215
Christina on the Coast,tv,"{Drama, Sport}",2018,7.6,14985
Murder for Hire,tv,"{Documentary, Family}",2014,6.4,67
Lone Star Justice,tv,"{Adventure, Animation, Sci-Fi}",2017,8.5,13
Guardians of the Glades,tv,"{Comedy, Drama}",2019,8.1,49249
The Third Day,tv,"{Drama, Family, Fantasy}",2018,6.8,3265
Oswaldo,tv,"{Drama, Fantasy, Horror}",2020,7.1,48303
Tokyo Vice,tv,{Horror},2018,5.8,696
Murder Loves Company,tv,"{Documentary, News, Talk-Show}",2018,6.6,369
Valeries Home Cooking,tv,"{Adventure, Comedy, Reality-TV}",2018,8.4,2331
sMothered,tv,"{Biography, Drama, History}",2018,7.9,250
Say Yes to the Nest,tv,{Reality-TV},2018,7.2,50
Still A Mystery,tv,{Documentary},2018,8.4,843
Love Island USA,tv,"{Comedy, Fantasy, Horror}",2019,8.6,109847
People Magazine Investigates: Cults,tv,"{Crime, Drama, Mystery}",2020,7.4,109360
Gremlins: Secrets of the Mogwai,tv,"{Drama, Thriller}",2020,7.3,11573
Avenue 5,tv,"{Drama, Mystery, Reality-TV}",2018,7.2,80
Industry,tv,{Reality-TV},2016,6.6,26
A Black Lady Sketch Show,tv,"{Action, Adventure, Animation}",2004,8.7,21445
Station Eleven,tv,"{Crime, Drama, Thriller}",2019,7.4,6438
The Family Chantel,tv,"{Biography, Music}",2018,7.6,1314
Body Cam,tv,"{Crime, Drama, Horror}",2020,7.6,103148
Impact of Murder,tv,"{Action, Adventure, Animation}",2013,8.2,112
Dark Waters: Murder in the Deep,tv,"{Animation, Comedy, Fantasy}",2018,8.1,2931
Pat the Dog,tv,"{Action, Crime, Drama}",2020,8,43158
Aaron Needs a Job,tv,"{Crime, Documentary}",2017,7.5,520
Serial Killer: Devil Unchained,tv,"{Crime, Drama, Mystery}",2018,7,1303
South Side,tv,"{Crime, Documentary, Drama}",2019,7.4,96
El Tigre Verón,tv,{Crime},2018,7,74
Who Killed Garrett Phillips?,tv,{Crime},2019,7.2,70
Delicious Miss Brown,tv,{Documentary},2019,7.8,49
Nafta Súper,tv,{Comedy},2019,7.8,11303
Por la Máscara,tv,"{Crime, Drama, Mystery}",2018,8,10515
