title,type,genres,releaseyear,averagerating,votes
Blood Diamond,movie,"{Action, Drama}",2006,7.6,877553
Stalker,movie,"{Adventure, Drama, Thriller}",2006,8,596959
The Pursuit of Happyness,movie,"{Drama, Sci-Fi}",1979,8,147940
The Departed,movie,"{Biography, Drama}",2006,8,575954
Once Upon a Time in Mexico,movie,"{Crime, Drama, Thriller}",2006,8.5,1452179
Little Children,movie,"{Action, Crime, Thriller}",2003,6.3,171626
Superman Returns,movie,"{Drama, Romance}",2006,7.5,118235
Hellboy,movie,"{Action, Adventure, Sci-Fi}",2006,6.1,293616
Miss Congeniality,movie,"{Action, Adventure, Fantasy}",2004,6.9,356610
Flatliners,movie,"{Action, Comedy, Crime}",2000,6.3,235436
Rope,movie,"{Drama, Horror, Sci-Fi}",1990,6.6,95111
Whats Eating Gilbert Grape,movie,"{Crime, Drama, Mystery}",1948,7.9,157544
Nowhere in Africa,movie,{Drama},1993,7.7,258205
Mississippi Burning,movie,"{Biography, Drama, History}",2001,7.5,14252
Free Willy,movie,"{Crime, Drama, Mystery}",1988,7.8,114024
The Island,movie,"{Adventure, Drama, Family}",1993,6,84614
The Dirty Dozen,movie,"{Action, Sci-Fi, Thriller}",2005,6.8,331395
Last Days,movie,"{Action, Adventure, War}",1967,7.7,80560
Ray,movie,"{Drama, Music}",2005,5.7,24036
The Reaping,movie,"{Biography, Drama, Music}",2004,7.7,159293
Hostel,movie,"{Horror, Thriller}",2007,5.6,45019
Hostel: Part II,movie,{Horror},2005,5.9,194800
Anatomy,movie,{Horror},2007,5.5,97777
Copycat,movie,"{Horror, Thriller}",2000,6,14216
Giant,movie,"{Drama, Mystery, Thriller}",1995,6.6,67915
The Mummy Returns,movie,"{Drama, Western}",1956,7.6,43021
The Mummy: Tomb of the Dragon Emperor,movie,"{Action, Adventure, Fantasy}",2001,6.4,352157
The Piano Teacher,movie,"{Action, Adventure, Fantasy}",2008,5.2,173285
Elephant,movie,"{Drama, Music}",2001,7.5,74027
Velvet Goldmine,movie,"{Crime, Drama, Thriller}",2003,7.1,98957
The Devils Advocate,movie,"{Drama, Music}",1998,6.9,38804
50 First Dates,movie,"{Drama, Fantasy, Mystery}",1997,7.5,412223
The Karate Kid,movie,"{Comedy, Drama, Romance}",2004,6.8,390397
Marie Antoinette,movie,"{Action, Drama, Family}",1984,7.3,251826
Don Juan DeMarco,movie,"{Biography, Drama, History}",2006,6.5,124846
Twin Peaks: Fire Walk with Me,movie,"{Comedy, Drama, Romance}",1994,6.7,53850
Superman,movie,"{Drama, Horror, Mystery}",1992,7.3,107792
Hulk,movie,"{Action, Adventure, Sci-Fi}",1978,7.4,191364
The Amazing Spider-Man,movie,"{Action, Sci-Fi}",2003,5.6,282333
Stomp the Yard,movie,"{Action, Adventure, Sci-Fi}",2012,6.9,717959
Zodiac,movie,"{Drama, Music, Romance}",2007,5.4,26631
The Butterfly Effect,movie,"{Crime, Drama, Mystery}",2007,7.7,617469
8 Women,movie,"{Drama, Sci-Fi, Thriller}",2004,7.6,530890
The Grudge,movie,"{Comedy, Crime, Musical}",2002,7,34816
Lara Croft: Tomb Raider,movie,"{Horror, Mystery, Thriller}",2004,5.9,152970
The Diving Bell and the Butterfly,movie,"{Action, Adventure, Fantasy}",2001,5.8,221866
Mr. Deeds,movie,"{Biography, Drama}",2007,8,111055
The Patriot,movie,"{Comedy, Romance}",2002,5.8,155522
Training Day,movie,"{Action, Drama, History}",2000,7.2,299065
The Lake House,movie,"{Crime, Drama, Thriller}",2001,7.8,484169
Romeo Must Die,movie,"{Drama, Fantasy, Romance}",2006,6.8,159666
Rush Hour,movie,"{Action, Crime, Thriller}",2000,6.1,74522
Payback,movie,"{Action, Comedy, Crime}",1998,7,302885
Hostile Waters,movie,"{Action, Crime, Drama}",1999,7.1,148028
The Perfect Storm,movie,"{Comedy, Crime, Drama}",1997,6.3,2278
Stargate,movie,"{Action, Adventure, Drama}",2000,6.5,181278
The Glass House,movie,"{Action, Adventure, Sci-Fi}",1994,7,209226
Death at a Funeral,movie,"{Crime, Drama, Mystery}",2001,5.8,40621
Capturing the Friedmans,movie,{Comedy},2007,7.3,122966
The Golden Compass,movie,"{Biography, Crime, Documentary}",2003,7.6,27596
Closer,movie,"{Adventure, Family, Fantasy}",2007,6.1,198727
Space Jam,movie,"{Drama, Romance}",2004,7.2,240094
Avalon,movie,"{Adventure, Animation, Comedy}",1996,6.5,218215
Inkheart,movie,{Drama},1990,7.2,7006
Beowulf,movie,"{Adventure, Family, Fantasy}",2008,6.1,83214
Taxi 2,movie,"{Action, Adventure, Animation}",2007,6.3,175874
Taxi 3,movie,"{Action, Comedy, Crime}",2000,6.5,60132
Taxi 4,movie,"{Action, Comedy, Crime}",2003,5.8,46430
Topaz,movie,"{Action, Comedy, Crime}",2007,5.6,31334
The Bourne Identity,movie,"{Drama, Thriller}",1969,6.2,19961
The Bourne Supremacy,movie,"{Action, Mystery, Thriller}",2002,7.8,586153
The Bourne Ultimatum,movie,"{Action, Mystery, Thriller}",2004,7.7,493875
Spanglish,movie,"{Action, Mystery, Thriller}",2007,8,665284
The Aviator,movie,"{Comedy, Drama, Romance}",2004,6.4,89540
The Tailor of Panama,movie,"{Biography, Drama}",2004,7.5,389591
Innerspace,movie,"{Drama, Thriller}",2001,6.1,31579
Two Weeks Notice,movie,"{Action, Adventure, Comedy}",1987,6.8,66332
In the Mouth of Madness,movie,"{Comedy, Romance}",2002,6.2,128174
Evan Almighty,movie,"{Drama, Fantasy, Horror}",1994,7.1,81979
American Pie 2,movie,"{Comedy, Family, Fantasy}",2007,5.4,157189
American Splendor,movie,{Comedy},2001,6.4,274487
The Chronicles of Riddick,movie,"{Biography, Comedy, Drama}",2003,7.4,53016
Rumor Has It...,movie,"{Action, Adventure, Sci-Fi}",2004,6.6,245322
A Very Long Engagement,movie,"{Comedy, Drama, Romance}",2005,5.5,62579
And the Band Played On,movie,"{Drama, Mystery, Romance}",2004,7.6,76465
As Good as It Gets,movie,"{Drama, History}",1993,7.8,11200
The Addams Family,movie,"{Comedy, Drama, Romance}",1997,7.7,323991
License to Wed,movie,"{Comedy, Fantasy}",1991,6.9,187305
Ghostbusters II,movie,"{Comedy, Romance}",2007,5.3,40968
Frankenstein,movie,"{Action, Comedy, Fantasy}",1989,6.6,230182
Ace Ventura: Pet Detective,movie,"{Drama, Horror, Sci-Fi}",1931,7.8,82076
Midnight Cowboy,movie,{Comedy},1994,6.9,332593
The Evil of Frankenstein,movie,{Drama},1969,7.8,123371
Barry Lyndon,movie,{Horror},1964,6,4789
Fame,movie,"{Adventure, Drama, War}",1975,8.1,187645
Changeling,movie,"{Drama, Music, Musical}",1980,6.6,25139
The Number 23,movie,"{Biography, Crime, Drama}",2008,7.7,268098
I Know What You Did Last Summer,movie,"{Crime, Mystery, Thriller}",2007,6.4,215005
Girl with a Pearl Earring,movie,"{Horror, Mystery}",1997,5.8,162405
No Reservations,movie,"{Biography, Drama, Romance}",2003,6.9,83505
The Lady from Shanghai,movie,"{Comedy, Drama, Romance}",2007,6.3,80277
Gilda,movie,"{Crime, Drama, Film-Noir}",1947,7.5,34490
Corpse Bride,movie,"{Drama, Film-Noir, Romance}",1946,7.6,36356
Critters,movie,"{Animation, Comedy, Drama}",2005,7.4,307816
What Women Want,movie,"{Comedy, Horror, Sci-Fi}",1986,6.1,40413
Beetlejuice,movie,"{Comedy, Fantasy, Romance}",2000,6.5,226742
My Girl,movie,"{Comedy, Fantasy}",1988,7.5,389205
Blow,movie,"{Comedy, Drama, Family}",1991,6.9,91054
Shoot Em Up,movie,"{Biography, Crime, Drama}",2001,7.5,278678
Scream,movie,"{Action, Comedy, Thriller}",2007,6.6,156179
Scary Movie,movie,"{Horror, Mystery}",1996,7.4,405578
Charlies Angels,movie,{Comedy},2000,6.3,295519
Pride & Prejudice,movie,"{Action, Adventure, Comedy}",2000,5.6,199060
Monster-in-Law,movie,"{Drama, Romance}",2005,7.8,340381
The Brave One,movie,"{Comedy, Romance}",2005,5.6,66521
Les Misérables,movie,"{Action, Crime, Drama}",2007,6.7,64173
Jean de Florette,movie,"{Crime, Drama, Romance}",1998,7.4,43824
Manon of the Spring,movie,"{Comedy, Drama}",1986,8.1,27992
Friday the 13th,movie,{Drama},1986,8,24391
The Assassination of Jesse James by the Coward Robert Ford,movie,"{Horror, Mystery, Thriller}",1980,6.4,163238
Panic Room,movie,"{Biography, Crime, Drama}",2007,7.5,195614
Sex and the City,movie,"{Crime, Drama, Thriller}",2002,6.8,302366
Armored,movie,"{Comedy, Drama, Romance}",2008,5.7,129017
Layer Cake,movie,"{Action, Crime, Mystery}",2009,5.7,32148
The Invasion,movie,"{Action, Crime, Drama}",2004,7.3,199589
The Curious Case of Benjamin Button,movie,"{Sci-Fi, Thriller}",2007,5.9,83981
Burn After Reading,movie,"{Drama, Fantasy, Romance}",2008,7.8,708570
The International,movie,"{Comedy, Crime, Drama}",2008,7,359603
Knocked Up,movie,"{Action, Crime, Drama}",2009,6.5,101424
Five Times Two,movie,"{Comedy, Romance}",2007,6.9,388934
American Gangster,movie,"{Drama, Romance}",2004,6.6,10528
The Sugarland Express,movie,"{Biography, Crime, Drama}",2007,7.8,462343
Rendition,movie,"{Crime, Drama}",1974,6.7,19714
LAvventura,movie,"{Drama, Thriller}",2007,6.8,58629
Rush Hour 3,movie,"{Drama, Mystery, Romance}",1960,7.7,33297
Rush Hour 2,movie,"{Action, Comedy, Crime}",2007,6.2,187350
3:10 to Yuma,movie,"{Action, Comedy, Crime}",2001,6.7,244623
The Polar Express,movie,"{Action, Crime, Drama}",2007,7.6,337464
Fred Claus,movie,"{Adventure, Animation, Comedy}",2004,6.6,246775
The Fugitive,movie,"{Comedy, Family, Fantasy}",2007,5.7,48167
RoboCop,movie,"{Action, Crime, Drama}",1993,7.8,326179
RoboCop 2,movie,"{Action, Crime, Sci-Fi}",1987,7.6,290170
RoboCop 3,movie,"{Action, Crime, Sci-Fi}",1990,5.8,95077
Space Cowboys,movie,"{Action, Crime, Sci-Fi}",1993,4.2,55444
The Canterbury Tales,movie,"{Action, Adventure, Thriller}",2000,6.5,87598
Torn Curtain,movie,"{Comedy, Drama, History}",1972,6.3,8414
Family Plot,movie,"{Drama, Romance, Thriller}",1966,6.6,29993
The Getaway,movie,"{Comedy, Crime, Drama}",1976,6.8,25363
The Witches of Eastwick,movie,"{Action, Crime, Thriller}",1972,7.3,36435
Empties,movie,"{Comedy, Fantasy, Horror}",1987,6.5,79629
Bram Stokers Dracula,movie,"{Comedy, Drama}",2007,7.2,5098
Dreamcatcher,movie,"{Fantasy, Horror, Romance}",1992,7.4,247092
Three Kings,movie,"{Drama, Horror, Sci-Fi}",2003,5.5,97534
Till the End of the Night,movie,"{Action, Adventure, Comedy}",1999,7.1,182627
Freddy vs. Jason,movie,{Drama},1995,3.8,481
I Am Legend,movie,"{Action, Horror}",2003,5.7,130111
The Orphanage,movie,"{Action, Drama, Horror}",2007,7.2,833405
Zathura: A Space Adventure,movie,"{Drama, Horror, Mystery}",2007,7.4,165835
One Missed Call,movie,"{Action, Adventure, Comedy}",2005,6.3,118167
The 40-Year-Old Virgin,movie,"{Horror, Mystery}",2008,4,34431
Somethings Gotta Give,movie,"{Comedy, Romance}",2005,7.1,477083
Van Helsing,movie,"{Comedy, Drama, Romance}",2003,6.7,131162
Perfect Stranger,movie,"{Action, Adventure, Fantasy}",2004,6.1,292199
Cloverfield,movie,"{Crime, Mystery, Thriller}",2007,5.7,52014
Matchstick Men,movie,"{Action, Horror, Sci-Fi}",2008,7,427870
Carrie,movie,"{Comedy, Crime, Drama}",2003,7.3,140264
There Will Be Blood,movie,"{Horror, Mystery}",1976,7.4,214176
The Bucket List,movie,{Drama},2007,8.2,654658
Speed Racer,movie,"{Adventure, Comedy, Drama}",2007,7.4,263477
Vantage Point,movie,"{Action, Adventure, Comedy}",2008,6.1,79617
Smokin Aces,movie,"{Action, Crime, Drama}",2008,6.6,155021
Over the Hedge,movie,"{Action, Comedy, Crime}",2006,6.6,153736
Fun with Dick and Jane,movie,"{Adventure, Animation, Comedy}",2006,6.7,193254
Rambo,movie,"{Comedy, Crime}",2005,6.2,156485
Resident Evil: Extinction,movie,"{Action, Adventure, Thriller}",2008,7,247942
"10,000 BC",movie,"{Action, Horror, Sci-Fi}",2007,6.2,208323
Amarcord,movie,"{Action, Adventure, Drama}",2008,5.1,136573
Half Nelson,movie,"{Comedy, Drama}",1973,7.8,47587
The Wolfman,movie,{Drama},2006,7.1,93070
Gigli,movie,"{Drama, Fantasy, Horror}",2010,5.8,113341
Punch-Drunk Love,movie,"{Comedy, Crime, Romance}",2003,2.6,51199
21,movie,"{Comedy, Drama, Romance}",2002,7.3,181961
Desperado,movie,"{Crime, Drama, Thriller}",2008,6.8,269930
